# Arapça	Türkçe okunuş (Leknevî'nin biyografilerinde adı geçen eserler)
أحكام القرآن	Ahkamü'l-Kur'an
التهذيب شرح الجامع الصغير	et-Tehzib şerhu'l-Cami'i's-sagir
التوشيح شرح الهداية	et-Tevşih şerhu'l-Hidaye
التوضيح شرح التنقيح	et-Tavzih şerhu't-Tenkih
التوضيح في شرح المقامات	et-Tavzih fi şerhi'l-Makamat
التيسير في التفسير	et-Teysir fi't-tefsir
التيسير في قواعد التفسير	et-Teysir fi kavaidi't-tefsir
الجامع الأصغر	el-Cami'u'l-asgar
الجامع الصغير	el-Cami'u's-sagir
الجامع الكبير	el-Cami'u'l-kebir
الجامع في الحيض	el-Cami' fi'l-hayz
الجامع في الفقه	el-Cami' fi'l-fıkh
الجدل في أصول الفقه	el-Cedel fi usuli'l-fıkh
الجرجانيات	el-Cürcaniyyat
الجواهر المضية في طبقات الحنفية	el-Cevahirü'l-mudiyye fi tabakati'l-Hanefiyye
الجوهر النقي في الرد على البيهقي	el-Cevherü'n-naki fi'r-red ale'l-Beyhaki
الحاوي	el-Havi
الحجج	el-Hucec
الذخيرة البرهانية	ez-Zahiretü'l-Burhaniyye
الذخيرة في المحاكمة بين الغزالي والفلاسفة	ez-Zahire fi'l-muhakeme beyne'l-Gazali ve'l-felasife
الرائض في علم الفرائض	er-Raiz fi ilmi'l-feraiz
الرد على الشافعي	er-Red ale'ş-Şafii
الرد على القدرية	er-Red ale'l-Kaderiyye
الرد على القرامطة	er-Red ale'l-Karamita
الرد على الكرامية	er-Red ale'l-Kerramiyye
الرد على المشبهة	er-Red ale'l-Müşebbihe
الرد على المنخول للغزالي	er-Red ale'l-Menhul li'l-Gazali
الرسالة الناصرية	er-Risaletü'n-Nasıriyye
الرفيع شرح البديع	er-Refi' şerhu'l-Bedi'
الرقم على البردة	er-Rakm ale'l-Bürde
الرقيات	er-Rakkiyyat
الروضة في اختلاف العلماء	er-Ravza fi ihtilafi'l-ulema
الرياض	er-Riyaz
الزبدة شرح العمدة	ez-Zübde şerhu'l-Umde
الزوائد والفوائد	ez-Zevaid ve'l-fevaid
الزيادات	ez-Ziyadat
السلطان المبين في أصول الدين	es-Sultanü'l-mübin fi usuli'd-din
السهام المارقة في كبد الزنادقة	es-Sihamü'l-marika fi kebidi'z-zenadika
السهم المصيب في الرد على الخطيب	es-Sehmü'l-musib fi'r-red ale'l-Hatib
السير الصغير	es-Siyerü's-sagir
السير الكبير	es-Siyerü'l-kebir
الشامل	eş-Şamil
الشروط	eş-Şurut
الشروط والمحاضر	eş-Şurut ve'l-mahadir
الشوارد	eş-Şevarid
الطريقة الرضوية	et-Tarikatü'r-Rıdaviyye
الطريقة العميدية	et-Tarikatü'l-Amidiyye
العباب	el-Übab
العقائد النسفية	el-Akaidü'n-Nesefiyye
العناية شرح الهداية	el-İnaye şerhu'l-Hidaye
العناية شرح الوقاية	el-İnaye şerhu'l-Vikaye
العناية في تخريج أحاديث الهداية	el-İnaye fi tahrici ehadisi'l-Hidaye
العون في الفقه	el-Avn fi'l-fıkh
الغاية شرح الهداية	el-Gaye şerhu'l-Hidaye
الغرائب والعجائب	el-Garaib ve'l-acaib
الغرائب والغوامض	el-Garaib ve'l-gavamız
الغرة المنيفة في ترجيح مذهب أبي حنيفة	el-Gurretü'l-münife fi tercihi mezhebi Ebi Hanife
الفائق	el-Faik
الفتاوى	el-Fetava
الفتاوى البزازية (الجامع الوجيز)	el-Fetava'l-Bezzaziyye (el-Cami'u'l-veciz)
الفتاوى السروجية	el-Fetava's-Serüciyye
الفتاوى الصغرى	el-Fetava's-suğra
الفتاوى الصوفية	el-Fetava's-Sufiyye
الفتاوى الطرسوسية	el-Fetava't-Tarsusiyye
الفتاوى الظهيرية	el-Fetava'z-Zahiriyye
الفتاوى الكبرى	el-Fetava'l-kübra
الفتاوى الولوالجية	el-Fetava'l-Velvalciyye
الفرائض	el-Feraiz
الفرق والتمييز	el-Fark ve't-temyiz
الفروق	el-Furuk
الفصول الأستروشنية	el-Fusulü'l-Üsruşeniyye
الفصول الستة	el-Fusulü's-sitte
الفصول العمادية	el-Fusulü'l-İmadiyye
الفصول في أصول الفقه	el-Fusul fi usuli'l-fıkh
الفصول في الأصول	el-Fusul fi'l-usul
الفصول في الفتاوى	el-Fusul fi'l-fetava
الفوائد	el-Fevaid
الفوائد الضيائية شرح الكافية	el-Fevaidü'z-Ziyaiyye şerhu'l-Kafiye
الفوائد الظهيرية	el-Fevaidü'z-Zahiriyye
الفوائد على الهداية	el-Fevaid ale'l-Hidaye
القلائد شرح العقائد	el-Kalaid şerhu'l-Akaid
القند في ذكر علماء سمرقند	el-Kand fi zikri ulemai Semerkand
القنية	el-Kunye
الكافي	el-Kafi
الكافي شرح أصول البزدوي	el-Kafi şerhu Usuli'l-Pezdevi
الكافي شرح الوافي	el-Kafi şerhu'l-Vafi
الكشاف	el-Keşşaf
الكفاية	el-Kifaye
الكفاية شرح الهداية	el-Kifaye şerhu'l-Hidaye
الكفاية مختصر الهداية	el-Kifaye muhtasaru'l-Hidaye
الكواكب النيرات في وصول ثواب الطاعات إلى الأموات	el-Kevakibü'n-neyyirat fi vusuli sevabi't-taat ile'l-emvat
الكوثر الجاري على رياض البخاري	el-Kevserü'l-cari ala Riyazi'l-Buhari
الكيسانيات	el-Keysaniyyat
اللباب شرح القدوري	el-Lübab şerhu'l-Kuduri
المبسوط	el-Mebsut
المبسوط (الأصل)	el-Mebsut (el-Asl)
المجتبى شرح مختصر القدوري	el-Müctebe şerhu Muhtasari'l-Kuduri
المجتبى في الأصول	el-Müctebe fi'l-usul
المجرد	el-Mücerred
المحاضر	el-Mahadir
المحاضر والسجلات	el-Mahadir ve's-sicillat
المحاضر والشروط	el-Mahadir ve'ş-şurut
المحاكمة بين الدواني والصدر الشيرازي	el-Muhakeme beyne'd-Devvani ve's-Sadri'ş-Şirazi
المحصل في البيان	el-Muhassal fi'l-beyan
المحمودية (نظم بالتركية)	el-Mahmudiyye (Türkçe manzume)
المحيط البرهاني	el-Muhitü'l-Burhani
المحيط الرضوي	el-Muhitü'r-Rıdavi
المختار	el-Muhtar
المختصر	el-Muhtasar
المختصر المسعودي	el-Muhtasarü'l-Mes'udi
المذاهب الملكية شرح الفرائض السراجية	el-Mezahibü'l-melikiyye şerhu'l-Feraizi's-Siraciyye
المرتضى في مختارات المسائل	el-Murtaza fi muhtarati'l-mesail
المسايرة في العقائد	el-Müsayere fi'l-akaid
المستصفى	el-Müstasfa
المستقصى في الأمثال	el-Müstaksa fi'l-emsal
المشارع	el-Meşari'
المصباح في النحو	el-Misbah fi'n-nahv
المصفى	el-Musaffa
المضاربة	el-Mudarebe
المعتمد مختصر مسند أبي حنيفة	el-Mu'temed muhtasaru Müsnedi Ebi Hanife
المعدن في أصول الفقه	el-Ma'den fi usuli'l-fıkh
المعرب	el-Mu'rab
المغرب في ترتيب المعرب	el-Mugrib fi tertibi'l-Mu'rab
المغني في أصول الفقه	el-Muğni fi usuli'l-fıkh
المفصل	el-Mufassal
المفيد والمزيد شرح التجريد	el-Müfid ve'l-mezid şerhu't-Tecrid
المقاصد النحوية	el-Makasıdü'n-nahviyye
المقدمات الأربعة	el-Mukaddimatü'l-erbaa
المقدمة الغزنوية	el-Mukaddimetü'l-Gazneviyye
المقدمة في الخلاف	el-Mukaddime fi'l-hilaf
الملتقط في الفتاوى	el-Mültekat fi'l-fetava
الملخص في الفتاوى	el-Mülahhas fi'l-fetava
المنابع شرح المشارع	el-Menabi' şerhu'l-Meşari'
المنار	el-Menar
المناسك	el-Menasik
المناهج	el-Menahic
المنبع شرح مجمع البحرين	el-Menba' şerhu Mecma'i'l-bahreyn
المنتخب في أصول المذهب (المنتخب الحسامي)	el-Müntehab fi usuli'l-mezheb (el-Müntehabü'l-Husami)
المنتقى	el-Münteka
المنتهى شرح المغني	el-Münteha şerhu'l-Muğni
المنظومة	el-Manzume
المنظومة النعمانية	el-Manzumetü'n-Nu'maniyye
المنقذ من الزلل في مسائل الجدل	el-Münkız mine'z-zelel fi mesaili'l-cedel
المنهاج	el-Minhac
المواقيت	el-Mevakit
الموجز في الفقه	el-Mucez fi'l-fıkh
الموطأ	el-Muvatta'
النافع	en-Nafi'
النتف في الفتاوى	en-Nütef fi'l-fetava
النجاح في الصرف	en-Necah fi's-sarf
النصاب	en-Nisab
النظم	en-Nazm
النظم في الفتاوى	en-Nazm fi'l-fetava
النفائس	en-Nefais
النقاية	en-Nukaye
النهاية شرح الهداية	en-Nihaye şerhu'l-Hidaye
النوادر	en-Nevadir
النوازل	en-Nevazil
النور اللامع والبرهان الساطع شرح عقيدة الطحاوي	en-Nurü'l-lami' ve'l-burhanü's-sati' şerhu Akideti't-Tahavi
الهارونيات	el-Haruniyyat
الهداية	el-Hidaye
الهداية شرح بداية المبتدي	el-Hidaye şerhu Bidayeti'l-mübtedi
الهداية في أصول الاعتقاد	el-Hidaye fi usuli'l-i'tikad
الهداية في الكلام	el-Hidaye fi'l-kelam
الهداية في المعاني والبيان	el-Hidaye fi'l-meani ve'l-beyan
الوافي	el-Vafi
الواقعات	el-Vakıat
الوثائق والعهود	el-Vesaik ve'l-uhud
الوجيز في الأصول	el-Veciz fi'l-usul
الوشاح	el-Vişah
الوقاية	el-Vikaye
الينابيع شرح مختصر القدوري	el-Yenabi' şerhu Muhtasari'l-Kuduri
بدائع الصنائع شرح تحفة الفقهاء	Bedaiu's-sanai' şerhu Tuhfeti'l-fukaha
بداية المبتدي	Bidayetü'l-mübtedi
بذل النظر في الأصول	Bezlü'n-nazar fi'l-usul
بركة الكلام على أحاديث الأحكام	Bereketü'l-kelam ala ehadisi'l-ahkam
بستان العارفين	Bustanü'l-arifin
بغية الطلب في تاريخ حلب	Buğyetü't-taleb fi tarihi Haleb
بهجة الأريب بما في القرآن من الغريب	Behcetü'l-erib bi-ma fi'l-Kur'an mine'l-garib
تاريخ آل عثمان	Tarihu Al-i Osman
تاريخ بخارى	Tarihu Buhara
تبصرة الأدلة	Tabsıratü'l-edille
تبصرة الأسرار شرح المنار	Tabsıratü'l-esrar şerhu'l-Menar
تبيين الحقائق شرح كنز الدقائق	Tebyinü'l-hakaik şerhu Kenzi'd-dekaik
تتمة الفتاوى	Tetimmetü'l-fetava
تجويد التجريد	Tecvidü't-Tecrid
تحفة الحريص شرح تلخيص الجامع الكبير	Tuhfetü'l-haris şerhu Telhisi'l-Cami'i'l-kebir
تحفة الفقهاء	Tuhfetü'l-fukaha
تخريج أحاديث الكشاف	Tahricü ehadisi'l-Keşşaf
ترتيب الجامع الصغير	Tertibü'l-Cami'i's-sagir
ترتيب تهذيب الأسماء واللغات	Tertibü Tehzibi'l-esma ve'l-lugat
ترتيب معجم الطبراني الكبير	Tertibü Mu'cemi't-Taberani el-kebir
تصحيح الآثار	Tashihu'l-asar
تعديل العلوم	Ta'dilü'l-ulum
تعليق الخلاف	Ta'likü'l-hilaf
تعليق في الخلاف	Ta'lik fi'l-hilaf
تعليقات على التلويح	Ta'likat ale't-Telvih
تعليقات على العناية والهداية	Ta'likat ale'l-İnaye ve'l-Hidaye
تعليقات على الهداية	Ta'likat ale'l-Hidaye
تعليقات على حواشي شرح التجريد	Ta'likat ala havaşi Şerhi't-Tecrid
تعليقات على شرح الجغميني	Ta'likat ala Şerhi'l-Çağmini
تعليقات على شرح المفتاح	Ta'likat ala Şerhi'l-Miftah
تعليقة على أسباب قوس قزح	Ta'like ala esbabi kavs-i kuzah
تعليقة في الخلاف	Ta'like fi'l-hilaf
تعليم المتعلم	Ta'limü'l-müteallim
تغيير التنقيح وشرحه	Tağyirü't-Tenkih ve şerhuhu
تفسير التفسير (حاشية البيضاوي على الزهراوين)	Tefsirü't-tefsir (Beyzavi'nin Zehraveyn tefsirine haşiye)
تفسير القرآن	Tefsirü'l-Kur'an
تقويم الأدلة	Takvimü'l-edille
تكملة شرح الهداية للسروجي	Tekmiletü şerhi'l-Hidaye li's-Serüci
تلخيص التفسير الكبير للرازي	Telhisu't-Tefsiri'l-kebir li'r-Razi
تلخيص الجامع الكبير	Telhisu'l-Cami'i'l-kebir
تلخيص الزاهدي	Telhisu'z-Zahidi
تلخيص مشكل الآثار	Telhisu Müşkili'l-asar
تلقيح العقول في الفروق	Telkihu'l-ukul fi'l-furuk
تنبيه الغافلين	Tenbihü'l-gafilin
تهافت الفلاسفة	Tehafütü'l-felasife
تهذيب أحكام القرآن	Tehzibü Ahkami'l-Kur'an
تهذيب أدب القاضي للخصاف	Tehzibü Edebi'l-kadi li'l-Hassaf
جامع أحكام الصغار	Camiu ahkami's-sigar
جامع المضمرات شرح مختصر القدوري	Camiu'l-muzmerat şerhu Muhtasari'l-Kuduri
جامع مسانيد أبي حنيفة	Camiu mesanidi Ebi Hanife
جمع التفاريق	Cem'u't-tefarik
جوامع الفقه (الفتاوى العتابية)	Cevami'u'l-fıkh (el-Fetava'l-Attabiyye)
جواهر الفتاوى	Cevahirü'l-fetava
جواهر الفقه	Cevahirü'l-fıkh
حاشية المطول	Haşiyetü'l-Mutavvel
حاشية شرح الوقاية	Haşiyetü Şerhi'l-Vikaye
حاشية على أوائل شرح المواقف	Haşiye ala evaili Şerhi'l-Mevakıf
حاشية على أوائل شرح الوقاية	Haşiye ala evaili Şerhi'l-Vikaye
حاشية على إلهيات شرح المواقف	Haşiye ala İlahiyyati Şerhi'l-Mevakıf
حاشية على الشفا	Haşiye ale'ş-Şifa
حاشية على الكشاف	Haşiye ale'l-Keşşaf
حاشية على المطول	Haşiye ale'l-Mutavvel
حاشية على المقدمات الأربع	Haşiye ale'l-Mukaddimati'l-erba'
حاشية على تفسير البيضاوي	Haşiye ala Tefsiri'l-Beyzavi
حاشية على تفسير سورة الأنعام للبيضاوي	Haşiye ala tefsiri Sureti'l-En'am li'l-Beyzavi
حاشية على شرح الشمسية	Haşiye ala Şerhi'ş-Şemsiyye
حاشية على شرح المطالع	Haşiye ala Şerhi'l-Metali'
حاشية على شرح الوقاية	Haşiye ala Şerhi'l-Vikaye
حاشية على مغني اللبيب	Haşiye ala Muğni'l-lebib
حقائق المنظومة	Hakaiku'l-Manzume
حواش على أوائل شرح التجريد	Havaşin ala evaili Şerhi't-Tecrid
حواش على أوائل شرح الوقاية	Havaşin ala evaili Şerhi'l-Vikaye
حواش على التلويح	Havaşin ale't-Telvih
حواش على الكشاف	Havaşin ale'l-Keşşaf
حواش على المقدمات الأربع	Havaşin ale'l-Mukaddimati'l-erba'
حواش على الهداية	Havaşin ale'l-Hidaye
حواش على تفسير البيضاوي	Havaşin ala Tefsiri'l-Beyzavi
حواش على حاشية الكشاف	Havaşin ala Haşiyeti'l-Keşşaf
حواش على حاشية شرح الشمسية	Havaşin ala Haşiyeti Şerhi'ş-Şemsiyye
حواش على حاشية شرح المختصر	Havaşin ala Haşiyeti Şerhi'l-Muhtasar
حواش على حاشية شرح المطالع	Havaşin ala Haşiyeti Şerhi'l-Metali'
حواش على شرح الجعبري للشاطبية	Havaşin ala Şerhi'l-Ca'beri li'ş-Şatıbiyye
حواش على شرح الجغميني	Havaşin ala Şerhi'l-Çağmini
حواش على شرح الطوالع	Havaşin ala Şerhi't-Tavali'
حواش على شرح العقائد النسفية	Havaşin ala Şerhi'l-Akaidi'n-Nesefiyye
حواش على شرح الفرائض السراجية	Havaşin ala Şerhi'l-Feraizi's-Siraciyye
حواش على شرح اللب	Havaşin ala Şerhi'l-Lübb
حواش على شرح المفتاح	Havaşin ala Şerhi'l-Miftah
حواش على شرح المواقف	Havaşin ala Şerhi'l-Mevakıf
حواش على شرح الوقاية	Havaşin ala Şerhi'l-Vikaye
حواش على شرح هداية الحكمة	Havaşin ala Şerhi Hidayeti'l-hikme
حواش على مباحث الجواهر من شرح المواقف	Havaşin ala mebahisi'l-cevahir min Şerhi'l-Mevakıf
حواشي التلويح	Havaşi't-Telvih
حواشي الكشاف	Havaşi'l-Keşşaf
حواشي المطول	Havaşi'l-Mutavvel
حواشي الهداية	Havaşi'l-Hidaye
حواشي تفسير البيضاوي	Havaşi Tefsiri'l-Beyzavi
حواشي حاشية الخيالي	Havaşi Haşiyeti'l-Hayali
حواشي شرح السراجية	Havaşi Şerhi's-Siraciyye
حواشي شرح العقائد	Havaşi Şerhi'l-Akaid
حواشي شرح العقائد النسفية	Havaşi Şerhi'l-Akaidi'n-Nesefiyye
حواشي شرح المواقف	Havaşi Şerhi'l-Mevakıf
حواشي شرح الوقاية	Havaşi Şerhi'l-Vikaye
حيرة الفقهاء	Hayretü'l-fukaha
خزانة الأكمل	Hizanetü'l-Ekmel
خزانة الفقه	Hizanetü'l-fıkh
خزانة الواقعات	Hizanetü'l-vakıat
خطب	Hutab
خلاصة الحقائق	Hulasatü'l-hakaik
خلاصة الدلائل وتنقيح المسائل	Hulasatü'd-delail ve tenkihu'l-mesail
خلاصة الفتاوى	Hulasatü'l-fetava
خلاصة المفتي	Hulasatü'l-müfti
خلاصة المقامات	Hulasatü'l-Makamat
خلاصة النهاية	Hulasatü'n-Nihaye
خير مطلوب في الفتاوى	Hayrü matlub fi'l-fetava
خير مطلوب في الفتاوى (صنفه له الحصيري)	Hayrü matlub fi'l-fetava (el-Hasiri onun için yazdı)
در السحابة في وفيات الصحابة	Dürrü's-sehabe fi vefeyati's-sahabe
درر البحار	Dürerü'l-bihar
درر الحكام شرح غرر الأحكام	Dürerü'l-hükkam şerhu Gureri'l-ahkam
ديوان شعر	Divan-ı şiir
ذخيرة العقبى حاشية شرح الوقاية	Zahiretü'l-ukba haşiyetü Şerhi'l-Vikaye
ذرع الكعبة	Zer'u'l-Ka'be
ربيع الأبرار	Rebi'u'l-ebrar
رسالة في إشكالات سيدي الحميدي	Risale fi işkalati Seyyidi el-Humeydi
رسالة في التصوف	Risale fi't-tasavvuf
رسالة في الرؤية والكلام	Risale fi'r-rü'ye ve'l-kelam
رسالة في باب الشهيد من شرح الوقاية	Risale fi babi'ş-şehid min Şerhi'l-Vikaye
رسالة في جواز الفرار من الوباء	Risale fi cevazi'l-firar mine'l-veba
رسالة في دفع التعارض بين آيتين	Risale fi def'i't-tearuz beyne ayeteyn
رسالة في فضائل الجهاد	Risale fi fezaili'l-cihad
رمز الحقائق شرح الكنز	Remzü'l-hakaik şerhu'l-Kenz
رواية الأصول والأمالي	Rivayetü'l-Usul ve'l-Emali
رواية الفقه الأكبر	Rivayetü'l-Fıkhi'l-ekber
رواية كتب أبي يوسف وأماليه	Rivayetü kütübi Ebi Yusuf ve emalih
روضة العلماء	Ravzatü'l-ulema
روضة القضاة وطريق النجاة	Ravzatü'l-kudat ve tarikü'n-necat
روضة المتكلمين	Ravzatü'l-mütekellimin
زاد الأئمة	Zadü'l-eimme
زاد الفقير	Zadü'l-fakir
زبدة الأحكام	Zübdetü'l-ahkam
زهرة الأنوار	Zehretü'l-envar
سلك الجواهر ونشر الزواهر	Silkü'l-cevahir ve neşru'z-zevahir
سلوة الهموم	Sülvetü'l-humum
سيرة النبي	Siretü'n-Nebi
شرح أدب القاضي	Şerhu Edebi'l-kadi
شرح أدب القاضي للخصاf	Şerhu Edebi'l-kadi li'l-Hassaf
شرح أدب القاضي للخصاف	Şerhu Edebi'l-kadi li'l-Hassaf
شرح ألفية ابن مالك	Şerhu Elfiyyeti İbn Malik
شرح إيساغوجي	Şerhu İsagoci
شرح الأسماء الحسنى	Şerhu'l-Esmai'l-hüsna
شرح الإيضاح	Şerhu'l-İzah
شرح البديع	Şerhu'l-Bedi'
شرح التائية	Şerhu't-Taiyye
شرح التكملة	Şerhu't-Tekmile
شرح التمهيد لأبي المعين النسفي	Şerhu't-Temhid li-Ebi'l-Muin en-Nesefi
شرح الجامع الصغير	Şerhu'l-Cami'i's-sagir
شرح الجامع الكبير	Şerhu'l-Cami'i'l-kebir
شرح الجامع لمحمد	Şerhu'l-Cami' li-Muhammed
شرح الجامعين	Şerhu'l-Cami'ayn
شرح الزيادات	Şerhu'z-Ziyadat
شرح السير الكبير	Şerhu's-Siyeri'l-kebir
شرح العوامل المائة	Şerhu'l-Avamili'l-mie
شرح الفرائض السراجية	Şerhu'l-Feraizi's-Siraciyye
شرح الفصوص	Şerhu'l-Fusus
شرح الفقه الأكبر	Şerhu'l-Fıkhi'l-ekber
شرح الكافية	Şerhu'l-Kafiye
شرح المشارق	Şerhu'l-Meşarik
شرح المغني	Şerhu'l-Muğni
شرح المنار	Şerhu'l-Menar
شرح المنظومة	Şerhu'l-Manzume
شرح المنظومة النسفية	Şerhu'l-Manzumeti'n-Nesefiyye
شرح المواقف	Şerhu'l-Mevakıf
شرح الموجز في الطب	Şerhu'l-Mucez fi't-tıb
شرح النافع	Şerhu'n-Nafi'
شرح النقاية	Şerhu'n-Nukaye
شرح الهداية	Şerhu'l-Hidaye
شرح الوقاية	Şerhu'l-Vikaye
شرح تلخيص الجامع	Şerhu Telhisi'l-Cami'
شرح تلخيص المفتاح	Şerhu Telhisi'l-Miftah
شرح درر البحار	Şerhu Düreri'l-bihar
شرح سقط الزند	Şerhu Sıktı'z-zend
شرح شرعة الإسلام	Şerhu Şir'ati'l-İslam
شرح صحيح البخاري	Şerhu Sahihi'l-Buhari
شرح عروض الأندلسي	Şerhu Aruzi'l-Endelüsi
شرح عقيدة الطحاوي	Şerhu Akideti't-Tahavi
شرح على الزنجاني	Şerh ale'z-Zencani
شرح عمدة النسفي	Şerhu Umdeti'n-Nesefi
شرح فصوص الحكم	Şerhu Fususi'l-hikem
شرح قسم التجنيس	Şerhu kısmi't-tecnis
شرح قواعد الإعراب	Şerhu Kavaidi'l-i'rab
شرح كلمتي الشهادة	Şerhu kelimeteyi'ş-şehade
شرح مجمع البحرين	Şerhu Mecma'i'l-bahreyn
شرح مختصر ابن الحاجب	Şerhu Muhtasari İbni'l-Hacib
شرح مختصر الحاكم	Şerhu Muhtasari'l-Hakim
شرح مختصر الطحاوي	Şerhu Muhtasari't-Tahavi
شرح مختصر القدوري	Şerhu Muhtasari'l-Kuduri
شرح مختصر الكرخي	Şerhu Muhtasari'l-Kerhi
شرح مشارق الأنوار	Şerhu Meşarikı'l-envar
شرح مصابيح السنة	Şerhu Mesabihi's-sünne
شرح معاني الآثار	Şerhu Meani'l-asar
شرح مغني الخبازي	Şerhu Muğni'l-Habbazi
شرح مفتاح الغيب	Şerhu Miftahi'l-gayb
شرح منظومة النسفي في الخلافيات	Şerhu Manzumeti'n-Nesefi fi'l-hilafiyyat
شرح نظم العقائد لخضر بيك	Şerhu Nazmi'l-akaid li-Hızır Bey
شرح نظم النخبة	Şerhu Nazmi'n-Nuhbe
شرح وصية أبي حنيفة	Şerhu Vasiyyeti Ebi Hanife
شرح گلستان بالعربية	Arapça Gülistan şerhi
شرعة الإسلام	Şir'atü'l-İslam
شواهد النبوة	Şevahidü'n-nübüvve
صرف مير	Sarf-ı Mir
صلاة الأثر	Salatü'l-eser
ضوء السراج شرح السراجية	Zav'ü's-Sirac şerhu's-Siraciyye
طبقات الحنفية	Tabakatü'l-Hanefiyye
طبقات الحنفية والشافعية	Tabakatü'l-Hanefiyye ve'ş-Şafiiyye
طلبة الطلبة	Talibetü't-talebe
عمدة الطالب لمعرفة المذاهب	Umdetü't-talib li-ma'rifeti'l-mezahib
عمدة القاري شرح صحيح البخاري	Umdetü'l-kari şerhu Sahihi'l-Buhari
عين الأعيان تفسير الفاتحة	Aynü'l-a'yan tefsirü'l-Fatiha
عيون المذهب	Uyunü'l-mezheb
عيون المسائل	Uyunü'l-mesail
غاية الأماني في تفسير الكلام الرباني	Gayetü'l-emani fi tefsiri'l-kelami'r-Rabbani
غاية البيان ونادرة الأقران شرح الهداية	Gayetü'l-beyan ve naziretü'l-akran şerhu'l-Hidaye
غاية التحقيق شرح المنتخب الحسامي	Gayetü't-tahkik şerhu'l-Müntehabi'l-Husami
غرر الأحكام	Gurerü'l-ahkam
غناء الفقهاء	Gınaü'l-fukaha
فتاوى قاضيخان	Fetava Kadıhan
فتح القدير شرح الهداية	Fethu'l-kadir şerhu'l-Hidaye
فصل الخطاب	Faslü'l-hitab
فصول البدائع في أصول الشرائع	Fusulü'l-bedai' fi usuli'ş-şerai'
قدس الأسرار في اختصار المنار	Kudsü'l-esrar fi ihtisari'l-Menar
